,Date,Company,ISIN,Price,Change
0,2025-05-11,Allianz Aktie,DE0008404005,"363,50  EUR","0,14 %"
1,2025-05-11,ASML Holding Aktie,NL0010273215,"627,25  EUR","-0,04 %"
2,2025-05-11,Alphabet C Aktie,US02079K1079,"137,30  EUR","0,00 %"
3,2025-05-11,Amazon Aktie,US0231351067,"171,86  EUR","0,00 %"
4,2025-05-11,Apple Aktie,US0378331005,"176,32  EUR","0,36 %"
5,2025-05-11,CyberArk Software Aktie,IL0011334468,"319,20  EUR","0,00 %"
0,2025-05-12,Allianz Aktie,DE0008404005,"351,05  EUR","-3,43 %"
1,2025-05-12,ASML Holding Aktie,NL0010273215,"656,65  EUR","4,44 %"
2,2025-05-12,Alphabet C Aktie,US02079K1079,"143,06  EUR","3,78 %"
3,2025-05-12,Amazon Aktie,US0231351067,"188,09  EUR","9,01 %"
4,2025-05-12,Apple Aktie,US0378331005,"189,86  EUR","7,68 %"
5,2025-05-12,CyberArk Software Aktie,IL0011334468,"324,60  EUR","2,33 %"
0,2025-05-13,Allianz Aktie,DE0008404005,"350,95  EUR","-0,62 %"
1,2025-05-13,ASML Holding Aktie,NL0010273215,"668,55  EUR","-0,45 %"
2,2025-05-13,Alphabet C Aktie,US02079K1079,"143,01  EUR","-0,68 %"
3,2025-05-13,Amazon Aktie,US0231351067,"188,95  EUR","0,48 %"
4,2025-05-13,Apple Aktie,US0378331005,"189,13  EUR","-0,44 %"
5,2025-05-13,CyberArk Software Aktie,IL0011334468,"320,35  EUR","-3,42 %"
